id,media_id,bidder,amount_raw,amount_eth,currency,timestamp,tx_hash
5786-0x376275c4f9e4fffd8a89a90852f253f8e3373f67,5786,0x376275c4f9e4fffd8a89a90852f253f8e3373f67,1000000000000000,0.001,WETH,2023-08-22 20:42:35,0x03cba6ae200c29ed689732fbcce55ffa6eca16694528129d6ac8e635509e78cc
2543-0x2ed0db8d2870ccac48b1693b9efe4341fedaecb1,2543,0x2ed0db8d2870ccac48b1693b9efe4341fedaecb1,33000000000000000000,33.0,FWB,2023-04-13 18:44:23,0x0ef83bbef0059db2543fe4ca86f9a654f28a724b6af04556670e5ae61722bf47
7887-0x703f87c50d915775228e40a0f562552e291e5540,7887,0x703f87c50d915775228e40a0f562552e291e5540,10000000000000000,0.01,WETH,2023-01-01 02:15:47,0xfc2302fa7025582c2ff611802314d7f528fed8f0ab21d49d76e560c0fccac129
8130-0x703f87c50d915775228e40a0f562552e291e5540,8130,0x703f87c50d915775228e40a0f562552e291e5540,10000000000000000,0.01,WETH,2023-01-01 02:13:47,0xfc912f11b429bebde9ad9c9f7923eda337eb7737a2ce4b8bea446cb73e6c06e7
7886-0x703f87c50d915775228e40a0f562552e291e5540,7886,0x703f87c50d915775228e40a0f562552e291e5540,10000000000000000,0.01,WETH,2023-01-01 02:11:59,0x46082a4c9d325a854024c376ff931ee7ab035d18471eef74a1845c46c8eec8ff
7475-0x703f87c50d915775228e40a0f562552e291e5540,7475,0x703f87c50d915775228e40a0f562552e291e5540,10000000000000000,0.01,WETH,2023-01-01 02:10:11,0x45c145c0e17af117c8102bc622bc3a6e8745023c5a3e7b835046032bc392e224
5855-0x703f87c50d915775228e40a0f562552e291e5540,5855,0x703f87c50d915775228e40a0f562552e291e5540,10000000000000000,0.01,WETH,2023-01-01 02:07:59,0xceb440b7b0291b6b661b53f337342e916ea4fd3f9ef2e3472c0d29498eabaf24
6657-0xe4c80780cc7fc7047bccb30e2cbcb67400752a88,6657,0xe4c80780cc7fc7047bccb30e2cbcb67400752a88,1000000000000000000,1.0,WETH,2022-12-24 05:44:35,0x553283d4bb7fb633123679ab9ad237d0bb79632b10a3e0d65baec18be7158b60
10574-0x2dc9ee472d7583199f1f11b1e915c1bd7f640cf9,10574,0x2dc9ee472d7583199f1f11b1e915c1bd7f640cf9,10000000000000000,0.01,DAI,2022-11-15 10:43:59,0xa0647315661958bedc09a92ae643b363c713c94220e6be35aa0bb8f7a37ab1fe
12700-0x4ffda649a57a1540dc53c7b27184063778326d44,12700,0x4ffda649a57a1540dc53c7b27184063778326d44,10000,0.01,USDC,2022-10-30 03:59:11,0x87600829da485427340018f1da6d7abd2ef6ae6b83ee396d2b8583ba9f298f38
23623-0xd172b0f73413f36b32fdb7c2a35aaf51571f2197,23623,0xd172b0f73413f36b32fdb7c2a35aaf51571f2197,100000,0.1,USDC,2022-09-27 01:21:23,0x231a89012f59ccc9c3e95b86c6f716f69a666811f9d05f63570b277eba9858aa
469-0xff019340537c2db8f0717f9e710977d18a46d61f,469,0xff019340537c2db8f0717f9e710977d18a46d61f,3000000000000000,0.003,WETH,2022-09-22 20:10:59,0xa32f6be2a8a233258d8bea0b64db830be8e180f4569546ea18bf1ac0a41fb4c0
16982-0x76748f79f9e50d8975070a954be489d1a3bdda7a,16982,0x76748f79f9e50d8975070a954be489d1a3bdda7a,1000000,1.0,USDC,2022-09-22 12:05:11,0x35dc6a2ce60711358318cf930af9f8b254e5642a3c72edf39775d2c2aeb2c9a0
500-0xcf2b7c6bc98bfe0d6138a25a3b6162b51f75e05d,500,0xcf2b7c6bc98bfe0d6138a25a3b6162b51f75e05d,1000000000000000000000,1000.0,BANK,2022-09-14 00:19:54,0xedb2dc8339c2b55f80d619b203241bd199aef1cd40ce7b19d2b585e16b20f14e
500-0x22b660f6e6a007acea649acd028a8d057c15620c,500,0x22b660f6e6a007acea649acd028a8d057c15620c,200000000,200.0,USDC,2022-09-13 22:48:38,0xace60c2b2f44724df7d0ea004c17017084673273d42cea75102b52efdc0905a2
21161-0x604b4dacb4c89ad08f5fb592d6b559b8da28bc72,21161,0x604b4dacb4c89ad08f5fb592d6b559b8da28bc72,1200000000000000,0.0012,WETH,2022-09-11 09:52:32,0xa4f6efd084f5faab2a4cde49e8143a67919f6a2c04070b377802949067e5a6df
26845-0x2450bbd3577f17c0e2f7359e5369260bf32c4a46,26845,0x2450bbd3577f17c0e2f7359e5369260bf32c4a46,5000000000000000,0.005,WETH,2022-09-11 04:06:29,0xdcef3af6a0ab69bea553450d9720f58425e2591dba1c94d658a855908b7d12b8
30703-0xdf51282af5f275c4ce3559f54079b25de16e0702,30703,0xdf51282af5f275c4ce3559f54079b25de16e0702,10000000,10.0,USDC,2022-08-27 18:23:39,0xde4a20255086b08622965e70df7dbd018680a555202a48692b441f0ebed0d735
28074-0xc1e11faba8edabd1d50ca487e5a23964765892b3,28074,0xc1e11faba8edabd1d50ca487e5a23964765892b3,10000000000000000,0.01,WETH,2022-08-14 19:11:08,0x85c892d027ebc5ee5a4d895bf3ca2a7f07abd32e8ca8214c68d45b615ada0fff
4813-0xe7922592a345eeb1f2f8b892fede0690ec193b65,4813,0xe7922592a345eeb1f2f8b892fede0690ec193b65,120000000000000000,0.12,DAI,2022-08-06 13:43:22,0x76aa373c6f57129e9666ac31b9e439046918989b749e36a41a6ce48e0f9de146
21234-0x41e7acc7fc04b4435fbf6da98fbb4bccc4126f29,21234,0x41e7acc7fc04b4435fbf6da98fbb4bccc4126f29,1000,0.001,USDC,2022-08-05 08:51:24,0x1181466231af49d2e1c1c0146bd946673f9a7a0bbcfb4a60d2614dc2128935e0
21234-0x2a630e648db8677b0cfc2fc17bd93db5cc604d85,21234,0x2a630e648db8677b0cfc2fc17bd93db5cc604d85,1000000,1.0,USDC,2022-08-05 06:36:55,0x083a3c697e71844c06999b44a02f76b536e3f9627edc68f9723fc79d524b1e50
8250-0x97c353badc4241bf8f556918f1b9fdf63350347d,8250,0x97c353badc4241bf8f556918f1b9fdf63350347d,30000000000000000,0.03,WETH,2022-07-23 22:28:47,0xad31b80a559ed63cbbcacd1844450fd9756a57312dae252ec5b055d605741677
5904-0x2bf034eccebc8cd60dab9c249b6c2996dcb7d8ec,5904,0x2bf034eccebc8cd60dab9c249b6c2996dcb7d8ec,150000000,150.0,USDC,2022-07-20 01:08:51,0xe42041c72b0a6496438e122e27c7740bed113b4dd222f342d317aa36fa0dafa8
3724-0xf596f9420234ad8ad4486518113680fbf4054420,3724,0xf596f9420234ad8ad4486518113680fbf4054420,11000000000000000,0.011,WETH,2022-07-13 10:53:15,0x2a3f4fc1ece9ef30f86220fa15c33044cf5587d27d8c238cf89ec9188beae299
3724-0xae66f023f3bd067f2c58e25b225eded462f9c99c,3724,0xae66f023f3bd067f2c58e25b225eded462f9c99c,800000,0.8,USDC,2022-07-13 10:49:49,0xe00ff220731e0bee84905bd99603d6f4288b5533c5f6f629a3d71aba7d878b22
10574-0x6430ba948778352e75c51f2a8831649a91d9ed25,10574,0x6430ba948778352e75c51f2a8831649a91d9ed25,2000000,2.0,USDC,2022-06-26 06:16:46,0x5f692ba3f0726ff7e7e81d2dd8045d0cb7903a76b6f913105b5c4c21ce779093
16732-0x97c4babb32d53d6f7330cc639817e172dbfe31e7,16732,0x97c4babb32d53d6f7330cc639817e172dbfe31e7,8000000000000000,0.008,WETH,2022-06-16 05:55:34,0xc00f25af4bcaf912665ff9325879a08a5caf8eebaf5846d83ee6fe427bcab7ae
18465-0xd59ad443d3ef809e6cb9daf524636d18a62cdae0,18465,0xd59ad443d3ef809e6cb9daf524636d18a62cdae0,1000000000000000000,1.0,DAI,2022-06-15 00:39:21,0xbe546f758b47b8cb59cee34ed914b962ea7279908861b9d4b39bf302bd9811d3
10574-0x8fe90e1618b97f30e043107ace36af91acd1a1a3,10574,0x8fe90e1618b97f30e043107ace36af91acd1a1a3,2000000000000000000,2.0,DAI,2022-06-10 07:21:47,0x3826c21894f88e5b6f2157669572e9a1ca2966b83ef68216f97a61c5c621321d
10574-0x807c2ac438bb586ed2e53d4c63adb9fe1fb6be58,10574,0x807c2ac438bb586ed2e53d4c63adb9fe1fb6be58,1000000,1.0,USDC,2022-06-10 01:43:08,0x3ae6205655dc2560cbc448f04717a6c10c4a8e57324a873d15cabdbff141823a
17533-0x33f6ee932cea603fafd6854827259be172c91da4,17533,0x33f6ee932cea603fafd6854827259be172c91da4,4000000000000000,0.004,WETH,2022-06-05 08:51:40,0x2a73d4512ba26b2b12eb68043e10839de8afc5fa5dfa717c24b7aba14c42a270
8608-0xc31e1442c8654a470bf8dbf5b61874b2c5203a67,8608,0xc31e1442c8654a470bf8dbf5b61874b2c5203a67,45000000000000000,0.045,WETH,2022-05-31 00:13:39,0x91c9fc5adfa57813b937a8287e2fc2973da44e3049d530b5492b9c4ab007641f
2987-0x8653172c8c6ea3f967e98545bf13182add4a9948,2987,0x8653172c8c6ea3f967e98545bf13182add4a9948,75000000000000000,0.075,WETH,2022-05-25 13:17:58,0xfdbc5bc54e7ffc4d41caeaa222e0ec292c4c13d6665b6be3fc73f153064aa64c
16715-0x5773fe763c7dfc57debcff7217962282d2466803,16715,0x5773fe763c7dfc57debcff7217962282d2466803,10000000000000000000,10.0,DAI,2022-05-20 04:32:49,0x5b5936d3a479b49bb9c5f579e883900ca7df572a14944ee28ee5d4701d1e0c0f
10574-0x9dc736221d29c7489c46bc66c8f3c58aa9b979af,10574,0x9dc736221d29c7489c46bc66c8f3c58aa9b979af,1000000,1.0,USDC,2022-05-20 01:28:50,0x5524da59e0a3393b0277c6f3654d2ca339ea28bb73b14278d630c68045c14804
